Nom du magasin;ETAT 254
Magasin 1;DOWN
Magasin 2;DOWN
Magasin 3;DOWN
Magasin 4;DOWN
Magasin 5;DOWN
Magasin 7;DOWN
Magasin 9;DOWN
Magasin 10;DOWN
Magasin 12;DOWN
Magasin 13;DOWN
Magasin 16;DOWN
Magasin 17;DOWN
Magasin 18;DOWN
Magasin 19;UP
Magasin 20;DOWN
Magasin 21;DOWN
Magasin 24;DOWN
Magasin 26;DOWN
Magasin 27;DOWN
Magasin 28;UP
Magasin 29;DOWN
Magasin 30;DOWN
Magasin 31;DOWN
Magasin 32;DOWN
Magasin 33;DOWN
Magasin 37;DOWN
Magasin 38;DOWN
Magasin 41;DOWN
Magasin 42;DOWN
Magasin 48;DOWN
Magasin 49;DOWN
Magasin 51;DOWN
Magasin 55;DOWN
Magasin 62;DOWN
Magasin 63;DOWN
Magasin 64;DOWN
Magasin 66;DOWN
Magasin 67;DOWN
Magasin 72;DOWN
Magasin 73;DOWN
Magasin 74;DOWN
Magasin 75;DOWN
Magasin 80;DOWN
Magasin 81;DOWN
Magasin 106;DOWN
Magasin 116;DOWN
Magasin 120;DOWN
Magasin 122;DOWN
Magasin 127;DOWN
Magasin 136;DOWN
Magasin 139;DOWN
Magasin 141;DOWN
Magasin 142;DOWN
Magasin 143;DOWN
Magasin 145;DOWN
Magasin 147;DOWN
Magasin 149;DOWN
Magasin 153;DOWN
Magasin 155;DOWN
Magasin 191;DOWN
Magasin 193;DOWN
Magasin 194;DOWN
Magasin 195;DOWN
Magasin 196;DOWN
Magasin 200;DOWN
Magasin 206;DOWN
Magasin 215;DOWN
Magasin 216;DOWN
Magasin 217;DOWN
Magasin 221;DOWN
Magasin 224;DOWN
Magasin 226;DOWN
Magasin 227;DOWN
Magasin 228;DOWN
Magasin 230;DOWN
Magasin 234;DOWN
Magasin 235;DOWN
Magasin 401;DOWN
Magasin 402;DOWN
Magasin 403;DOWN
Magasin 404;DOWN
Magasin 406;DOWN
Magasin 407;DOWN
Magasin 408;DOWN
Magasin 410;DOWN
Magasin 411;DOWN
Magasin 412;DOWN
Magasin 413;DOWN
Magasin 414;DOWN
Magasin 416;DOWN
Magasin 417;DOWN
Magasin 418;DOWN
Magasin 419;DOWN
Magasin 420;DOWN
Magasin 421;DOWN
Magasin 422;DOWN
Magasin 424;DOWN
Magasin 426;DOWN
Magasin 428;DOWN
Magasin 429;DOWN
Magasin 430;DOWN
Magasin 438;DOWN
Magasin 453;DOWN
Magasin 454;DOWN
Magasin 412;DOWN
